file,mode,threads,label,iterations,sse_final,time_ms,h2d_ms,kernel_ms,d2h_ms,throughput_millions_per_s,mpi_total_ms,mpi_comm_total_ms,mpi_comm_avg_ms,block_size
serial_large_run.txt,serial,,,50,4106684.2035045135,492.000,,,,,,,,
omp_1_large_run.txt,omp,1,,50,4106684.2035045135,511.000,,,,,,,,
omp_2_large_run.txt,omp,2,,50,4106684.2035044320,266.000,,,,,,,,
omp_4_large_run.txt,omp,4,,50,4106684.2035044464,230.000,,,,,,,,
omp_8_large_run.txt,omp,8,,50,4106684.2035044357,167.000,,,,,,,,
omp_16_large_run.txt,omp,16,,50,4106684.2035044506,186.000,,,,,,,,
cuda_bs_32_large_run.txt,cuda,,bs32,50,4106684.2035045228,199.383,0.984,195.997,2.402,173.47,,,,32
cuda_bs_64_large_run.txt,cuda,,bs64,50,4106684.2035045237,156.797,1.884,153.768,1.145,221.11,,,,64
cuda_bs_128_large_run.txt,cuda,,bs128,50,4106684.2035045153,177.283,2.379,173.768,1.136,195.66,,,,128
cuda_bs_256_large_run.txt,cuda,,bs256,50,4106684.2035045219,148.841,2.557,145.092,1.191,234.33,,,,256
cuda_bs_512_large_run.txt,cuda,,bs512,50,4106684.2035045256,155.934,2.683,151.363,1.888,224.63,,,,512
mpi_p1_large_run.txt,mpi,1,,34,4106684.2035045135,2189.061,,,,,2189.061,0.354,0.354,
mpi_p2_large_run.txt,mpi,2,,34,4106684.2035044217,1190.202,,,,,1190.202,23.300,11.650,
mpi_p4_large_run.txt,mpi,4,,34,4106684.2035044539,784.649,,,,,784.649,253.705,63.426,
mpi_p8_large_run.txt,mpi,8,,34,4106684.2035044353,560.988,,,,,560.988,548.051,68.506,
